num_acc	val_loss	epoch_sec	ideal_sec
1	0.0287	81.04	81.04
2	0.0311	44.36	40.52
4	0.0294	23.36	20.26
8	0.0307	12.13	10.13
16	0.0316	7.24	5.07
32	0.0334	3.79	2.53
64	0.0361	2.17	1.27
128	0.0394	1.32	0.63
256	0.0420	0.96	0.32
