|A|B|C|D|E|F|G|H|I|
| 32099  |         poprun         |   3s   |   janel    | 1  | 1330MHz  | 30.4 C | 26.1 C |137.9 W |
| 32099  |         poprun         |   3s   |   janel    | 4  | 1330MHz  | 33.4 C | 26.0 C |142.6 W |
| 32099  |         poprun         |   3s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |135.3 W |
| 32099  |         poprun         |   3s   |   janel    | 12 | 1330MHz  | 31.9 C | 26.2 C |132.4 W |
| 32099  |         poprun         |   4s   |   janel    | 0  | 1330MHz  | 32.6 C | 26.1 C |137.8 W |
| 32099  |         poprun         |   4s   |   janel    | 4  | 1330MHz  | 33.7 C | 26.1 C |142.6 W |
| 32099  |         poprun         |   4s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |136.5 W |
| 32099  |         poprun         |   4s   |   janel    | 12 | 1330MHz  | 31.8 C | 26.2 C |132.9 W |
| 32099  |         poprun         |   5s   |   janel    | 0  | 1330MHz  | 32.6 C | 26.1 C |137.7 W |
| 32099  |         poprun         |   5s   |   janel    | 4  | 1330MHz  | 33.4 C | 26.1 C |142.8 W |
| 32099  |         poprun         |   5s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.2 W |
| 32099  |         poprun         |   5s   |   janel    | 12 | 1330MHz  | 31.8 C | 26.2 C |133.0 W |
| 32099  |         poprun         |   6s   |   janel    | 0  | 1330MHz  | 32.6 C | 26.1 C |137.3 W |
| 32099  |         poprun         |   6s   |   janel    | 4  | 1330MHz  | 33.4 C | 26.1 C |142.7 W |
| 32099  |         poprun         |   6s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |136.0 W |
| 32099  |         poprun         |   6s   |   janel    | 12 | 1330MHz  | 31.9 C | 26.2 C |133.0 W |
| 32099  |         poprun         |   8s   |   janel    | 0  | 1330MHz  | 32.6 C | 26.1 C |137.8 W |
| 32099  |         poprun         |   8s   |   janel    | 4  | 1330MHz  | 33.6 C | 26.1 C |142.8 W |
| 32099  |         poprun         |   8s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |135.8 W |
| 32099  |         poprun         |   7s   |   janel    | 12 | 1330MHz  | 31.9 C | 26.2 C |133.1 W |
| 32790  |         python         |   6s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |137.5 W |
| 32790  |         python         |   6s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |136.3 W |
| 32790  |         python         |   8s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.6 W |
| 32790  |         python         |   9s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |136.8 W |
| 32790  |         python         |  10s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.2 W |
| 32790  |         python         |  11s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |136.8 W |
| 32790  |         python         |  12s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.0 W |
| 32790  |         python         |  13s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.0 W |
| 32790  |         python         |  14s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |136.2 W |
| 32790  |         python         |  16s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.5 W |
| 32790  |         python         |  17s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.7 W |
| 32790  |         python         |  18s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.0 W |
| 32790  |         python         |  19s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.1 W |
| 32790  |         python         |  20s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.0 W |
| 32790  |         python         |  21s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.2 W |
| 32790  |         python         |  23s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.1 W |
| 32790  |         python         |  24s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.8 W |
| 32790  |         python         |  25s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |137.4 W |
| 32790  |         python         |  26s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |135.8 W |
| 32790  |         python         |  27s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.9 W |
| 32790  |         python         |  28s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.4 W |
| 32790  |         python         |  29s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.4 W |
| 32790  |         python         |  30s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |136.8 W |
| 32790  |         python         |  31s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |137.2 W |
| 32790  |         python         |  33s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.4 W |
| 32790  |         python         |  34s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |138.1 W |
| 32790  |         python         |  35s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.6 W |
| 32790  |         python         |  36s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.1 W |
| 32790  |         python         |  37s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.1 W |
| 32790  |         python         |  38s   |   janel    | 8  | 1330MHz  | 32.9 C | 26.2 C |136.9 W |
| 32790  |         python         |  39s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.3 W |
| 32790  |         python         |  41s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.5 W |
| 32790  |         python         |  42s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
| 32790  |         python         |  43s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.7 W |
| 32790  |         python         |  44s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.2 W |
| 32790  |         python         |  45s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.8 W |
| 32790  |         python         |  46s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.0 W |
| 32790  |         python         |  48s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.0 W |
| 32790  |         python         |  48s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.5 W |
| 32790  |         python         |  50s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |136.7 W |
| 32790  |         python         |  51s   |   janel    | 8  | 1330MHz  | 33.3 C | 26.2 C |137.7 W |
| 32790  |         python         |  52s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.2 W |
| 32790  |         python         |  53s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.1 W |
| 32790  |         python         |  54s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
| 32790  |         python         |  55s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.9 W |
| 32790  |         python         |  56s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.1 W |
| 32790  |         python         |  58s   |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |136.6 W |
| 32790  |         python         |  59s   |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.5 W |
| 32790  |         python         |  1m0s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.1 W |
| 32790  |         python         |  1m1s  |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.4 W |
| 32790  |         python         |  1m2s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |136.9 W |
| 32790  |         python         |  1m3s  |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.3 W |
| 32790  |         python         |  1m5s  |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |138.0 W |
| 32790  |         python         |  1m5s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.5 W |
| 32790  |         python         |  1m7s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.0 W |
| 32790  |         python         |  1m8s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.4 W |
| 32790  |         python         |  1m9s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.4 W |
| 32790  |         python         | 1m10s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.2 W |
| 32790  |         python         | 1m11s  |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.8 W |
| 32790  |         python         | 1m12s  |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |138.0 W |
| 32790  |         python         | 1m13s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.6 W |
| 32790  |         python         | 1m15s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
| 32790  |         python         | 1m16s  |   janel    | 8  | 1330MHz  | 33.0 C | 26.2 C |137.7 W |
| 32790  |         python         | 1m17s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.4 W |
| 32790  |         python         | 1m18s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.5 W |
| 32790  |         python         | 1m19s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.9 W |
| 32790  |         python         | 1m20s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.2 W |
| 32790  |         python         | 1m21s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.3 C |137.0 W |
| 32790  |         python         | 1m23s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
| 32790  |         python         | 1m24s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
| 32790  |         python         | 1m25s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |136.8 W |
| 32790  |         python         | 1m26s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.7 W |
| 32790  |         python         | 1m27s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.0 W |
| 32790  |         python         | 1m28s  |   janel    | 8  | 1330MHz  | 33.3 C | 26.2 C |137.1 W |
| 32790  |         python         | 1m30s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.1 W |
| 32790  |         python         | 1m31s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.3 C |136.9 W |
| 32790  |         python         | 1m32s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.3 C |137.4 W |
| 32790  |         python         | 1m33s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
| 32790  |         python         | 1m34s  |   janel    | 8  | 1330MHz  | 33.2 C | 26.2 C |137.3 W |
