|A|B|C|D|E|F|G|H|I|
| 67637  |         poprun         |   4s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |145.6 W |
| 67637  |         poprun         |   4s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |146.7 W |
| 67637  |         poprun         |   7s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.1 C |146.5 W |
| 67637  |         poprun         |   8s   |   janel    | 0  | 1330MHz  | 34.1 C | 27.0 C |129.2 W |
| 67637  |         poprun         |   9s   |   janel    | 0  | 1330MHz  | 34.1 C | 27.0 C |129.4 W |
| 68304  |         python         | 16m34s |   janel    | 0  | 1330MHz  | 32.9 C | 26.5 C |129.3 W |
| 68304  |         python         | 16m37s |   janel    | 0  | 1330MHz  | 32.9 C | 26.5 C |129.3 W |
| 68304  |         python         | 16m38s |   janel    | 0  | 1330MHz  | 32.9 C | 26.5 C |129.2 W |
| 68304  |         python         | 16m39s |   janel    | 0  | 1330MHz  | 32.9 C | 26.5 C |137.6 W |
| 68304  |         python         | 16m42s |   janel    | 0  | 1330MHz  | 32.9 C | 26.5 C |158.6 W |
| 68304  |         python         | 16m42s |   janel    | 0  | 1330MHz  | 33.2 C | 26.5 C |161.8 W |
| 68304  |         python         | 16m45s |   janel    | 0  | 1330MHz  | 33.3 C | 26.5 C |261.5 W |
| 68304  |         python         | 16m45s |   janel    | 0  | 1330MHz  | 33.3 C | 26.5 C |166.4 W |
| 68304  |         python         | 16m48s |   janel    | 0  | 1330MHz  | 33.3 C | 26.5 C |243.7 W |
| 68304  |         python         | 16m49s |   janel    | 0  | 1330MHz  | 33.6 C | 26.5 C |201.2 W |
| 68304  |         python         | 16m50s |   janel    | 0  | 1330MHz  | 33.7 C | 26.6 C |201.1 W |
| 68304  |         python         | 16m53s |   janel    | 0  | 1330MHz  | 33.6 C | 26.6 C |163.8 W |
| 68304  |         python         | 16m53s |   janel    | 0  | 1330MHz  | 33.6 C | 26.6 C |199.7 W |
| 68304  |         python         | 16m56s |   janel    | 0  | 1330MHz  | 33.6 C | 26.6 C |230.6 W |
| 68304  |         python         | 16m56s |   janel    | 0  | 1330MHz  | 33.7 C | 26.6 C |196.6 W |
| 68304  |         python         | 16m59s |   janel    | 0  | 1330MHz  | 33.7 C | 26.6 C |213.0 W |
| 68304  |         python         | 16m59s |   janel    | 0  | 1330MHz  | 33.7 C | 26.6 C |196.0 W |
| 68304  |         python         | 17m1s  |   janel    | 0  | 1330MHz  | 34.0 C | 26.6 C |228.1 W |
| 68304  |         python         | 17m4s  |   janel    | 0  | 1330MHz  | 33.8 C | 26.6 C |211.1 W |
| 68304  |         python         | 17m4s  |   janel    | 0  | 1330MHz  | 34.0 C | 26.7 C |315.1 W |
| 68304  |         python         | 17m6s  |   janel    | 0  | 1330MHz  | 34.1 C | 26.7 C |179.5 W |
| 68304  |         python         | 17m8s  |   janel    | 0  | 1330MHz  | 34.2 C | 26.7 C |255.7 W |
| 68304  |         python         | 17m9s  |   janel    | 0  | 1330MHz  | 34.2 C | 26.7 C |263.7 W |
| 68304  |         python         | 17m12s |   janel    | 0  | 1330MHz  | 34.2 C | 26.7 C |278.8 W |
| 68304  |         python         | 17m12s |   janel    | 0  | 1330MHz  | 34.2 C | 26.7 C |229.4 W |
| 68304  |         python         | 17m15s |   janel    | 0  | 1330MHz  | 34.4 C | 26.7 C |201.1 W |
| 68304  |         python         | 17m15s |   janel    | 0  | 1330MHz  | 34.4 C | 26.8 C |206.7 W |
| 68304  |         python         | 17m18s |   janel    | 0  | 1330MHz  | 34.4 C | 26.8 C |261.7 W |
| 68304  |         python         | 17m19s |   janel    | 0  | 1330MHz  | 34.5 C | 26.8 C |215.9 W |
| 68304  |         python         | 17m20s |   janel    | 0  | 1330MHz  | 34.5 C | 26.8 C |209.0 W |
