|A|B|C|D|E|F|G|H|I|
| 167068 |         poprun         |   3s   |   janel    | 0  | 1330MHz  | 31.2 C | 26.7 C |126.8 W |
| 167068 |         poprun         |   3s   |   janel    | 4  | 1330MHz  | 32.2 C | 26.9 C |141.9 W |
| 167068 |         poprun         |   4s   |   janel    | 0  | 1330MHz  | 31.4 C | 26.7 C |125.7 W |
| 167068 |         poprun         |   4s   |   janel    | 4  | 1330MHz  | 32.2 C | 26.9 C |141.5 W |
| 167068 |         poprun         |   5s   |   janel    | 0  | 1330MHz  | 31.2 C | 26.7 C |126.8 W |
| 167068 |         poprun         |   5s   |   janel    | 4  | 1330MHz  | 32.3 C | 26.9 C |141.5 W |
| 167068 |         poprun         |   6s   |   janel    | 0  | 1330MHz  | 31.6 C | 26.7 C |126.2 W |
| 167068 |         poprun         |   6s   |   janel    | 4  | 1330MHz  | 32.3 C | 26.9 C |142.0 W |
| 167068 |         poprun         |   8s   |   janel    | 0  | 1330MHz  | 31.5 C | 26.7 C |126.5 W |
| 167068 |         poprun         |   8s   |   janel    | 4  | 1330MHz  | 32.0 C | 26.9 C |142.4 W |
| 167068 |         poprun         |   9s   |   janel    | 0  | 1330MHz  | 31.5 C | 26.7 C |126.1 W |
| 167068 |         poprun         |   9s   |   janel    | 4  | 1330MHz  | 32.0 C | 26.9 C |142.0 W |
| 167068 |         poprun         |  10s   |   janel    | 0  | 1330MHz  | 31.5 C | 26.7 C |126.0 W |
| 167068 |         poprun         |  10s   |   janel    | 4  | 1330MHz  | 32.2 C | 26.9 C |141.8 W |
| 167068 |         poprun         |  11s   |   janel    | 0  | 1330MHz  | 31.5 C | 26.7 C |126.1 W |
| 167068 |         poprun         |  11s   |   janel    | 4  | 1330MHz  | 32.2 C | 26.9 C |141.7 W |
| 167068 |         poprun         |  12s   |   janel    | 0  | 1330MHz  | 31.5 C | 26.8 C |126.5 W |
| 167068 |         poprun         |  12s   |   janel    | 4  | 1330MHz  | 32.5 C | 26.9 C |142.1 W |
| 167068 |         poprun         |  14s   |   janel    | 0  | 1330MHz  | 31.5 C | 26.8 C |127.0 W |
| 167068 |         poprun         |  14s   |   janel    | 4  | 1330MHz  | 32.3 C | 26.9 C |141.3 W |
| 167068 |         poprun         |  15s   |   janel    | 0  | 1330MHz  | 31.6 C | 26.8 C |126.9 W |
| 167068 |         poprun         |  15s   |   janel    | 4  | 1330MHz  | 32.3 C | 27.0 C |141.9 W |
| 167068 |         poprun         |  16s   |   janel    | 0  | 1330MHz  | 31.6 C | 26.8 C |127.0 W |
| 167068 |         poprun         |  16s   |   janel    | 4  | 1330MHz  | 32.5 C | 27.0 C |142.3 W |
| 167068 |         poprun         |  18s   |   janel    | 0  | 1330MHz  | 31.4 C | 26.8 C |126.7 W |
| 167068 |         poprun         |  17s   |   janel    | 4  | 1330MHz  | 32.3 C | 27.0 C |142.1 W |
