|A|B|C|D|E|F|G|H|I|
| 190528 |         poprun         |   4s   |   janel    | 1  | 1330MHz  | 33.0 C | 27.4 C |151.2 W |
| 190528 |         poprun         |   4s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.1 C |148.6 W |
| 190528 |         poprun         |   4s   |   janel    | 8  | 1330MHz  | 34.4 C | 27.3 C |155.4 W |
| 190528 |         poprun         |   4s   |   janel    | 13 | 1330MHz  | 34.4 C | 27.2 C |153.6 W |
| 190528 |         poprun         |   4s   |   janel    | 17 | 1330MHz  | 32.0 C | 26.7 C |151.3 W |
| 190528 |         poprun         |   3s   |   janel    | 20 | 1330MHz  | 35.5 C | 27.1 C |150.3 W |
| 190528 |         poprun         |   3s   |   janel    | 24 | 1330MHz  | 34.5 C | 27.2 C |153.7 W |
| 190528 |         poprun         |   3s   |   janel    | 28 | 1330MHz  | 36.6 C | 27.0 C |154.4 W |
| 190528 |         poprun         |   5s   |   janel    | 1  | 1330MHz  | 32.9 C | 27.4 C |151.2 W |
| 190528 |         poprun         |   5s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.1 C |148.2 W |
| 190528 |         poprun         |   5s   |   janel    | 8  | 1330MHz  | 34.4 C | 27.3 C |155.4 W |
| 190528 |         poprun         |   5s   |   janel    | 12 | 1330MHz  | 35.4 C | 27.2 C |154.0 W |
| 190528 |         poprun         |   5s   |   janel    | 16 | 1330MHz  | 35.8 C | 26.7 C |150.5 W |
| 190528 |         poprun         |   5s   |   janel    | 20 | 1330MHz  | 35.4 C | 27.1 C |150.2 W |
| 190528 |         poprun         |   5s   |   janel    | 24 | 1330MHz  | 34.5 C | 27.2 C |153.4 W |
| 190528 |         poprun         |   5s   |   janel    | 28 | 1330MHz  | 36.6 C | 27.0 C |154.7 W |
| 190528 |         poprun         |   7s   |   janel    | 52 | 1330MHz  | 36.0 C | 26.7 C |153.9 W |
| 190528 |         poprun         |   7s   |   janel    | 61 | 1330MHz  | 32.9 C | 27.7 C |161.3 W |
| 190528 |         poprun         |   8s   |   janel    | 32 | 1330MHz  | 36.9 C | 27.6 C |153.2 W |
