|A|B|C|D|E|F|G|H|I|
| 144799 |         poprun         |   9s   |   janel    | 36 | 1330MHz  | 35.3 C | 27.2 C |158.8 W |
| 144799 |         poprun         |   9s   |   janel    | 40 | 1330MHz  | 35.7 C | 26.7 C |148.3 W |
| 144799 |         poprun         |   9s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |151.3 W |
| 144799 |         poprun         |   8s   |   janel    | 48 | 1330MHz  | 35.2 C | 27.0 C |155.3 W |
| 144799 |         poprun         |   8s   |   janel    | 52 | 1330MHz  | 36.5 C | 26.7 C |154.1 W |
| 144799 |         poprun         |   8s   |   janel    | 56 | 1330MHz  | 35.3 C | 26.8 C |144.6 W |
| 144799 |         poprun         |   8s   |   janel    | 60 | 1330MHz  | 36.3 C | 27.5 C |160.9 W |
| 144799 |         poprun         |   9s   |   janel    | 0  | 1330MHz  | 34.4 C | 27.0 C |147.0 W |
| 144799 |         poprun         |   9s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |148.2 W |
| 144799 |         poprun         |   9s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.0 C |155.6 W |
| 144799 |         poprun         |   9s   |   janel    | 12 | 1330MHz  | 35.6 C | 27.1 C |153.6 W |
| 144799 |         poprun         |   9s   |   janel    | 16 | 1330MHz  | 35.9 C | 26.6 C |150.3 W |
| 144799 |         poprun         |   9s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |150.7 W |
| 144799 |         poprun         |   9s   |   janel    | 24 | 1330MHz  | 34.2 C | 26.9 C |152.6 W |
| 144799 |         poprun         |   9s   |   janel    | 28 | 1330MHz  | 36.6 C | 26.8 C |153.8 W |
| 144799 |         poprun         |  10s   |   janel    | 32 | 1330MHz  | 36.4 C | 27.4 C |153.4 W |
| 144799 |         poprun         |  10s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.2 C |159.6 W |
| 144799 |         poprun         |  10s   |   janel    | 40 | 1330MHz  | 35.8 C | 26.7 C |147.6 W |
| 144799 |         poprun         |  10s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |151.2 W |
| 144799 |         poprun         |  10s   |   janel    | 48 | 1330MHz  | 35.2 C | 27.0 C |155.1 W |
| 144799 |         poprun         |  10s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |154.0 W |
| 144799 |         poprun         |  10s   |   janel    | 56 | 1330MHz  | 35.5 C | 26.8 C |145.0 W |
| 144799 |         poprun         |  10s   |   janel    | 60 | 1330MHz  | 36.6 C | 27.5 C |160.9 W |
| 144799 |         poprun         |  12s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |147.0 W |
| 144799 |         poprun         |  12s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |148.2 W |
| 144799 |         poprun         |  12s   |   janel    | 8  | 1330MHz  | 34.1 C | 27.0 C |155.6 W |
| 144799 |         poprun         |  12s   |   janel    | 12 | 1330MHz  | 35.6 C | 27.1 C |154.2 W |
| 144799 |         poprun         |  12s   |   janel    | 16 | 1330MHz  | 35.9 C | 26.6 C |150.7 W |
| 144799 |         poprun         |  11s   |   janel    | 20 | 1330MHz  | 35.2 C | 26.8 C |150.6 W |
| 144799 |         poprun         |  11s   |   janel    | 24 | 1330MHz  | 34.2 C | 26.9 C |152.2 W |
| 144799 |         poprun         |  11s   |   janel    | 28 | 1330MHz  | 36.8 C | 26.8 C |154.3 W |
| 144799 |         poprun         |  11s   |   janel    | 32 | 1330MHz  | 36.5 C | 27.4 C |153.0 W |
| 144799 |         poprun         |  11s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.3 C |158.5 W |
| 144799 |         poprun         |  11s   |   janel    | 40 | 1330MHz  | 35.8 C | 26.7 C |148.0 W |
| 144799 |         poprun         |  11s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |151.7 W |
| 144799 |         poprun         |  11s   |   janel    | 48 | 1330MHz  | 35.4 C | 27.0 C |154.9 W |
| 144799 |         poprun         |  11s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |154.0 W |
| 144799 |         poprun         |  11s   |   janel    | 56 | 1330MHz  | 35.5 C | 26.8 C |144.4 W |
| 144799 |         poprun         |  11s   |   janel    | 60 | 1330MHz  | 36.2 C | 27.5 C |161.5 W |
| 144799 |         poprun         |  12s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |146.4 W |
| 144799 |         poprun         |  12s   |   janel    | 4  | 1330MHz  | 37.3 C | 27.0 C |148.1 W |
| 144799 |         poprun         |  13s   |   janel    | 8  | 1330MHz  | 34.1 C | 27.0 C |155.6 W |
| 144799 |         poprun         |  13s   |   janel    | 12 | 1330MHz  | 35.6 C | 27.1 C |153.6 W |
| 144799 |         poprun         |  13s   |   janel    | 16 | 1330MHz  | 36.2 C | 26.6 C |150.5 W |
| 144799 |         poprun         |  13s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |150.3 W |
| 144799 |         poprun         |  13s   |   janel    | 24 | 1330MHz  | 34.1 C | 26.9 C |152.9 W |
| 144799 |         poprun         |  13s   |   janel    | 28 | 1330MHz  | 36.8 C | 26.8 C |153.8 W |
| 144799 |         poprun         |  13s   |   janel    | 32 | 1330MHz  | 36.6 C | 27.3 C |153.0 W |
| 144799 |         poprun         |  13s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.3 C |159.4 W |
| 144799 |         poprun         |  13s   |   janel    | 40 | 1330MHz  | 35.8 C | 26.7 C |147.7 W |
| 144799 |         poprun         |  13s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |152.2 W |
| 144799 |         poprun         |  13s   |   janel    | 48 | 1330MHz  | 35.4 C | 27.0 C |155.3 W |
| 144799 |         poprun         |  13s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |154.2 W |
| 144799 |         poprun         |  13s   |   janel    | 56 | 1330MHz  | 35.5 C | 26.8 C |144.1 W |
| 144799 |         poprun         |  13s   |   janel    | 60 | 1330MHz  | 36.6 C | 27.5 C |160.9 W |
| 144799 |         poprun         |  15s   |   janel    | 0  | 1330MHz  | 34.2 C | 27.0 C |138.3 W |
| 144799 |         poprun         |  15s   |   janel    | 4  | 1330MHz  | 37.0 C | 27.0 C |130.5 W |
| 144799 |         poprun         |  14s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.1 C |137.8 W |
| 144799 |         poprun         |  14s   |   janel    | 12 | 1330MHz  | 35.4 C | 27.1 C |136.5 W |
| 144799 |         poprun         |  14s   |   janel    | 16 | 1330MHz  | 36.1 C | 26.6 C |133.3 W |
| 144799 |         poprun         |  14s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |133.4 W |
| 144799 |         poprun         |  14s   |   janel    | 24 | 1330MHz  | 34.1 C | 26.9 C |136.0 W |
| 144799 |         poprun         |  14s   |   janel    | 28 | 1330MHz  | 36.5 C | 26.8 C |136.9 W |
| 144799 |         poprun         |  14s   |   janel    | 32 | 1330MHz  | 36.6 C | 27.4 C |135.9 W |
| 144799 |         poprun         |  14s   |   janel    | 36 | 1330MHz  | 35.1 C | 27.2 C |141.8 W |
| 144799 |         poprun         |  14s   |   janel    | 40 | 1330MHz  | 35.7 C | 26.7 C |131.1 W |
| 144799 |         poprun         |  15s   |   janel    | 44 | 1330MHz  | 36.8 C | 27.1 C |134.2 W |
| 144799 |         poprun         |  15s   |   janel    | 48 | 1330MHz  | 35.2 C | 27.0 C |137.7 W |
| 144799 |         poprun         |  15s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |136.4 W |
| 144799 |         poprun         |  15s   |   janel    | 56 | 1330MHz  | 35.5 C | 26.8 C |127.6 W |
| 144799 |         poprun         |  15s   |   janel    | 60 | 1330MHz  | 36.5 C | 27.5 C |143.3 W |
| 144799 |         poprun         |  17s   |   janel    | 0  | 1330MHz  | 34.1 C | 27.0 C |128.7 W |
| 144799 |         poprun         |  17s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |130.9 W |
| 144799 |         poprun         |  17s   |   janel    | 8  | 1330MHz  | 33.8 C | 27.0 C |137.4 W |
| 144799 |         poprun         |  17s   |   janel    | 12 | 1330MHz  | 35.5 C | 27.1 C |136.3 W |
| 144799 |         poprun         |  17s   |   janel    | 16 | 1330MHz  | 35.9 C | 26.6 C |133.6 W |
| 144799 |         poprun         |  17s   |   janel    | 20 | 1330MHz  | 35.1 C | 26.8 C |132.7 W |
| 144799 |         poprun         |  17s   |   janel    | 24 | 1330MHz  | 34.1 C | 26.9 C |135.5 W |
| 144799 |         poprun         |  17s   |   janel    | 28 | 1330MHz  | 36.6 C | 26.8 C |136.6 W |
| 144799 |         poprun         |  17s   |   janel    | 32 | 1330MHz  | 36.3 C | 27.4 C |136.5 W |
| 144799 |         poprun         |  16s   |   janel    | 36 | 1330MHz  | 35.2 C | 27.2 C |141.7 W |
| 144799 |         poprun         |  16s   |   janel    | 40 | 1330MHz  | 35.7 C | 26.7 C |130.3 W |
| 144799 |         poprun         |  16s   |   janel    | 44 | 1330MHz  | 36.9 C | 27.1 C |134.6 W |
| 144799 |         poprun         |  16s   |   janel    | 48 | 1330MHz  | 35.2 C | 27.0 C |138.4 W |
| 144799 |         poprun         |  16s   |   janel    | 52 | 1330MHz  | 36.3 C | 26.7 C |136.2 W |
| 144799 |         poprun         |  16s   |   janel    | 56 | 1330MHz  | 35.5 C | 26.8 C |127.0 W |
| 144799 |         poprun         |  16s   |   janel    | 60 | 1330MHz  | 36.5 C | 27.5 C |143.0 W |
| 144799 |         poprun         |  17s   |   janel    | 0  | 1330MHz  | 34.1 C | 27.0 C |129.6 W |
| 144799 |         poprun         |  17s   |   janel    | 4  | 1330MHz  | 37.2 C | 27.0 C |131.0 W |
| 144799 |         poprun         |  18s   |   janel    | 8  | 1330MHz  | 34.0 C | 27.1 C |136.8 W |
| 144799 |         poprun         |  18s   |   janel    | 12 | 1330MHz  | 35.5 C | 27.1 C |135.7 W |
| 144799 |         poprun         |  18s   |   janel    | 16 | 1330MHz  | 36.1 C | 26.6 C |133.8 W |
| 144799 |         poprun         |  18s   |   janel    | 20 | 1330MHz  | 34.9 C | 26.8 C |133.2 W |
