Wall time,Step,Value
1648388883.9371917,0,0.13879092037677765
1648388885.2985225,1,0.08630391955375671
1648388886.6626918,2,0.08607913553714752
1648388888.0149589,3,0.07163497805595398
1648388889.3856804,4,0.07378644496202469
1648388890.7508898,5,0.06764952093362808
1648388892.100454,6,0.06795396655797958
1648388893.469187,7,0.0649869441986084
1648388894.83719,8,0.06056743860244751
1648388896.2406933,9,0.058101315051317215
1648388897.6096206,10,0.05742848664522171
1648388898.9810503,11,0.05627840384840965
1648388900.345366,12,0.05532792583107948
1648388901.7243934,13,0.054086778312921524
1648388903.1054773,14,0.05384638160467148
1648388904.4690273,15,0.053139183670282364
1648388905.860657,16,0.0523933582007885
1648388907.2459936,17,0.052038226276636124
1648388908.6454422,18,0.05176084488630295
1648388910.0183148,19,0.051180481910705566
1648388911.396099,20,0.05066513642668724
1648388912.7762783,21,0.05064687505364418
1648388914.1513255,22,0.050161417573690414
1648388915.5387952,23,0.050023049116134644
1648388916.915809,24,0.049487922340631485
1648388918.293363,25,0.04936247691512108
1648388919.6745522,26,0.04946351796388626
1648388921.1210687,27,0.048746634274721146
1648388922.4999933,28,0.04869087412953377
1648388923.8954117,29,0.04844769090414047
1648388925.259988,30,0.04810240492224693
1648388926.6267996,31,0.0484306737780571
1648388928.00007,32,0.04801464453339577
1648388929.3802726,33,0.04760047793388367
1648388930.7533762,34,0.047838132828474045
1648388932.1284206,35,0.04757840186357498
1648388933.5034328,36,0.047159601002931595
1648388934.8715684,37,0.047439321875572205
1648388936.2678869,38,0.04697135463356972
1648388937.6527202,39,0.046766575425863266
1648388939.103521,40,0.04698193073272705
1648388940.5145931,41,0.04687026888132095
1648388941.9134712,42,0.04662885144352913
1648388943.2910798,43,0.04646250978112221
1648388944.6650748,44,0.04628906771540642
1648388946.0480807,45,0.0462847575545311
1648388947.426692,46,0.046188775449991226
1648388948.8084152,47,0.046368539333343506
1648388950.1881647,48,0.04601798951625824
1648388951.5609183,49,0.04604322090744972
1648388952.9531615,50,0.0456693135201931
1648388954.3383114,51,0.04568558558821678
1648388955.7265105,52,0.045510079711675644
1648388957.1004,53,0.04300850257277489
1648388958.4931545,54,0.04226734861731529
1648388959.8768306,55,0.042133357375860214
1648388961.2548459,56,0.042023126035928726
1648388962.6347356,57,0.041939910501241684
1648388964.0117486,58,0.04184945300221443
1648388965.388531,59,0.04178059846162796
1648388966.7819123,60,0.04168844223022461
1648388968.164217,61,0.04162004217505455
1648388969.6186156,62,0.041567835956811905
1648388971.010138,63,0.041479021310806274
1648388972.4653463,64,0.04146481305360794
1648388973.8334537,65,0.04140127822756767
1648388975.209673,66,0.04132836312055588
1648388976.5964339,67,0.041265010833740234
1648388977.983358,68,0.041239917278289795
1648388979.364431,69,0.041250940412282944
1648388980.7357073,70,0.04105941951274872
1648388982.116512,71,0.04097067937254906
1648388983.496441,72,0.04090694710612297
1648388984.8761365,73,0.041031043976545334
1648388986.254539,74,0.04086202755570412
1648388987.6391072,75,0.04085460305213928
1648388989.0123374,76,0.04069025069475174
1648388990.3822656,77,0.040826912969350815
1648388991.7467902,78,0.040580183267593384
1648388993.1227016,79,0.04081839323043823
1648388994.4983904,80,0.04062068834900856
1648388995.8763888,81,0.04047486186027527
1648388997.2703424,82,0.04051133245229721
1648388998.7532408,83,0.04037294164299965
1648389000.1438916,84,0.04035823047161102
1648389001.5252755,85,0.040312573313713074
1648389002.8993545,86,0.04034694656729698
1648389004.3060973,87,0.04029493033885956
1648389005.6915166,88,0.04005661979317665
1648389007.0738046,89,0.0401422493159771
1648389008.463018,90,0.03998918458819389
1648389009.854366,91,0.03993135690689087
1648389011.2374256,92,0.03988188877701759
1648389012.602353,93,0.039902642369270325
1648389013.9732974,94,0.03969055041670799
1648389015.3575406,95,0.040017928928136826
1648389016.7419202,96,0.03960604965686798
1648389018.1151278,97,0.039506349712610245
1648389019.5045557,98,0.039641909301280975
1648389020.8846166,99,0.03954041004180908
1648389022.257778,100,0.039622850716114044
1648389023.6250296,101,0.03931874781847
1648389024.9922104,102,0.039501868188381195
1648389026.370468,103,0.03936271369457245
1648389027.737238,104,0.03931734338402748
1648389029.1717815,105,0.03929745778441429
1648389030.5665576,106,0.039141252636909485
1648389031.9366183,107,0.03907391056418419
1648389033.3088317,108,0.03907216712832451
1648389034.6948886,109,0.03889159485697746
1648389036.084072,110,0.0391802154481411
1648389037.481582,111,0.03882390260696411
1648389038.8605404,112,0.038842134177684784
1648389040.2465327,113,0.038772717118263245
1648389041.631416,114,0.03898410499095917
1648389043.0183685,115,0.03880157321691513
1648389044.396246,116,0.03879843279719353
1648389045.7896264,117,0.03857148066163063
1648389047.1702933,118,0.038632214069366455
1648389048.5591671,119,0.03838515281677246
1648389049.9350784,120,0.03839428350329399
1648389051.310214,121,0.03873056545853615
1648389052.6771066,122,0.037934862077236176
1648389054.0506177,123,0.03776836022734642
1648389055.4389076,124,0.037748947739601135
1648389056.8135877,125,0.03772449865937233
1648389058.200008,126,0.03770335763692856
1648389059.7524202,127,0.037702396512031555
1648389061.1379743,128,0.03769294172525406
1648389062.514928,129,0.03768090531229973
1648389063.8887424,130,0.03767392039299011
1648389065.2511973,131,0.03766803443431854
1648389066.6333451,132,0.03764955326914787
1648389068.002147,133,0.03763844817876816
1648389069.388104,134,0.037635479122400284
1648389070.781847,135,0.037633948028087616
1648389072.1616924,136,0.03761779144406319
1648389073.551181,137,0.037610288709402084
1648389074.937358,138,0.03760136291384697
1648389076.3179135,139,0.03759195655584335
1648389077.7012272,140,0.03758098557591438
1648389079.071722,141,0.03756100684404373
1648389080.4458907,142,0.03756651654839516
1648389081.8169124,143,0.037553757429122925
1648389083.1983206,144,0.037545930594205856
1648389084.5843084,145,0.037522025406360626
1648389085.9649234,146,0.03752047196030617
1648389087.344577,147,0.03751379996538162
1648389088.855662,148,0.03750750049948692
1648389090.2700648,149,0.037519678473472595
1648389091.6908267,150,0.037487324327230453
